Time [s],Channel 0
449.318560320,1
449.534118400,0
450.316172160,1
450.445733600,0
451.320864960,1
451.438381440,0
452.310138080,1
452.448770720,0
453.316485920,1
453.453833920,0
454.316556320,1
454.538715040,0
455.322271040,1
455.439463360,0
456.314542880,1
456.445643840,0
457.318408480,1
457.541264960,0
458.321419520,1
458.526329120,0
459.312733600,1
459.635734240,0
460.319765120,1
460.635296160,0
461.319245440,1
461.525704640,0
462.315309440,1
462.623167520,0
463.307662720,1
463.435618880,0
464.268943200,1
464.280509280,0
464.304550720,1
464.834816000,0
465.311191680,1
465.441896160,0
466.311944960,1
466.454384960,0
467.009709600,1
467.031180640,0
467.313956320,1
467.458200160,0
468.254719680,1
468.261860480,0
468.298553760,1
468.449372960,0
469.309457760,1
469.424029120,0
470.315519360,1
470.445726560,0
471.131387360,1
471.141946400,0
471.305709760,1
471.448307360,0
472.315022560,1
472.445220320,0
472.789129920,1
472.810462080,0
473.312310560,1
473.450051680,0
474.126895200,1
474.150086720,0
474.320040480,1
474.454939200,0
475.313342880,1
475.440769600,0
475.724606080,1
475.733472640,0
476.317857280,1
476.438115520,0
477.324518400,1
477.439964320,0
478.319965440,1
478.448787840,0
479.315802720,1
479.464893280,0
480.320183840,1
480.444640960,0
481.314373920,1
481.432212480,0
482.311653440,1
482.439694400,0
483.322827840,1
483.532823200,0
484.320910400,1
484.425231840,0
485.182023200,1
485.193626080,0
485.324086400,1
485.438454240,0
486.318848800,1
486.440185280,0
487.319948480,1
487.532021440,0
488.309188160,1
488.531819520,0
489.312713600,1
489.431651520,0
490.317506560,1
490.435308320,0
491.321101760,1
491.531377440,0
492.204309280,1
492.226064480,0
492.319264640,1
492.454178240,0
493.314928960,1
493.428509280,0
494.307841920,1
494.430347040,0
495.316041760,1
495.445405920,0
495.717606560,1
495.729672480,0
496.312218880,1
496.430717600,0
497.303297600,1
497.554010560,0
498.313789920,1
498.546517440,0
499.316088960,1
499.543183680,0
500.309569920,1
500.546704320,0
500.578330400,1
500.583820320,0
500.592969600,1
500.599453280,0
501.321235680,1
501.432612480,0
501.659408320,1
501.685607680,0
501.771895360,1
501.822838080,0
502.323376160,1
502.553149120,0
503.317827520,1
503.431057120,0
504.313510400,1
504.528936960,0
505.323713760,1
505.458652320,0
506.317271360,1
506.542880480,0
507.315969920,1
507.447729600,0
508.328373760,1
508.530953440,0
509.323305440,1
509.527182720,0
510.321388960,1
510.436140960,0
511.316135040,1
511.468177600,0
512.320685280,1
512.431135520,0
513.321193760,1
513.462439840,0
514.311557280,1
514.544422560,0
515.312475360,1
515.541484320,0
515.546514880,1
515.559068160,0
516.298323360,1
516.455398880,0
517.311939200,1
517.524086400,0
518.312313920,1
518.545648800,0
519.310488160,1
519.645271040,0
520.313319840,1
520.665300960,0
521.311431680,1
521.657757440,0
521.670051200,1
521.686181280,0
522.312027360,1
522.635954080,0
523.312583200,1
523.510188640,0
523.522947520,1
523.526088000,0
524.310948480,1
524.853745920,0
525.325549600,1
525.431635040,0
526.325142720,1
526.438198720,0
527.312583520,1
527.426955040,0
528.311821760,1
528.444627680,0
529.316198400,1
529.434606400,0
530.322736640,1
530.478594720,0
531.325516640,1
531.436094080,0
532.314957760,1
532.437784320,0
533.321732320,1
533.432173920,0
534.312511360,1
534.458435840,0
535.309022080,1
535.427239680,0
536.311656320,1
536.440199200,0
537.320021920,1
537.432303040,0
